AATS1se,AATS2p,AATSC2c,AATSC0i,GATS2c,BCUTdv-1h,BCUTi-1h,Xch-7d,Xpc-4dv,AXp-2dv,SssCH2,AETA_eta_RL,ETA_epsilon_5,ETA_dEpsilon_D,IC0,IC1,PEOE_VSA8,SMR_VSA1,SlogP_VSA5,VSA_EState3,n5ARing,TopoPSA(NO),TPSA,MolLogP,fr_Al_OH_noTert,sp_h
7.938457333333333,1.6039023629476816,0.0051593854331404,1.648720064491759,0.6820844640276791,6.021931695871288,14.547964089308676,0.0589255650988789,0.2355549171058998,0.1459955608766094,0.0,0.4782811614044789,0.7696969696969699,0.1043771043771043,1.70558726169826,3.1068905956085184,12.393687143226153,4.794537184071822,10.357988675768818,0.0,0,55.98,55.98,0.1805000000000001,0.0,13.1
7.54905911111111,1.4536949675325306,-0.0019408493620471,1.4855559434748982,1.744857814664907,5.0226570665702885,14.54817378944094,0.2231919917077937,0.8849450096766629,0.2014701493381048,3.817277021919879,0.4897508414759787,0.7666666666666667,0.0,1.2957378005380122,2.961236604722876,18.43552797237412,0.0,24.44693556669697,0.0,1,16.130000000000003,16.130000000000003,1.8483,0.0,10.7
7.574895724137931,1.5802918738438447,-0.0008864207434802,1.2929440896220648,0.715791256917994,6.023129077987096,13.63835536031601,0.970615381081878,5.464825527669614,0.2093292277977758,5.512947411459992,0.472341314233173,0.7839506172839502,0.038716049382716,1.2823527363135774,2.967787158342588,12.338727669087405,19.802129157825057,58.79322575986332,20.540037422521088,1,74.6,74.6,2.6667000000000005,2.0,12.4
7.466374000000001,1.0970240109640474,-0.0017491429290219,1.16674687429562,0.8083325594925034,6.014645052553628,13.63665018694574,0.0,0.0,0.3184472670871598,1.6840277777777777,0.4828427124746189,0.8533333333333333,0.0,1.2389012566026305,2.1887870678023824,6.4208216229260096,4.794537184071822,19.765380445542643,0.0,0,17.07,17.07,0.9854,0.0,7.0
9.471168,0.4446129048489999,0.0423350216612915,8.542987755556074e-05,0.0,4.0,13.61805,0.0,0.0,,0.0,0.0,0.6888888888888888,0.7777777777777778,0.9182958340544896,0.9182958340544896,0.0,5.476191835881363,0.0,0.0,0,31.5,31.5,-0.8247,0.0,42.4
7.314977866666665,1.5883797810227918,-0.0005479836423806,1.3606538246806383,1.0994336877288338,4.04803503328401,11.571318412679826,0.1020620726159657,0.1924500897298752,0.2068375672974064,0.0,0.4848352643024788,0.7000000000000001,0.0,0.9967916319816366,2.0419460322060456,0.0,0.0,5.563451491696996,0.0,0,0.0,0.0,1.99502,0.0,0.0
7.3198808695652176,1.6082884537951432,-0.0003369414879039,1.35543289796256,1.0704189063138456,4.174629813342206,11.579512798587718,0.2357022603955158,0.5243773949903288,0.2125583649736843,5.37537037037037,0.4966326495188785,0.7000000000000001,0.0,0.9940302114769564,2.3685225277282065,0.0,0.0,23.96854622924601,0.0,0,0.0,0.0,2.5654000000000003,0.0,2.9
8.143633,1.7150959608695653,0.008791386065505,1.3529528869040612,0.5014739550167957,6.022032572849872,13.642658634089637,0.1314458557658021,0.3062844596137827,0.1424635837500351,0.0,0.4698377302757662,0.8250000000000001,0.1049999999999998,1.505240814944148,2.75,0.0,15.007591973753234,10.357988675768818,17.13959183673469,0,57.53,57.53,1.0903999999999998,0.0,13.8
8.084744333333333,1.0521089623378097,0.0003041684282533,1.113161133676082,0.9453194663231922,7.004110186272206,14.594722473449576,0.0,0.3160471559532289,0.2431353814460085,0.0,0.440455735015306,1.022222222222222,0.0,1.6691803368667308,2.0349409139562287,18.77078544819892,4.923311048817671,13.847474399381248,9.50462962962963,0,43.14,43.14,0.6715,0.0,4.1
7.720203238095238,1.1352369524498422,-0.0014681858794114,1.086651344512991,0.8032487969549557,5.005114095439486,13.624285963736376,0.0,0.0,0.3102378596455088,4.393826530612245,0.4892766952966368,0.7733333333333333,0.1183333333333334,1.2406705316766884,1.8676338909712125,13.213763929025836,10.213054789681411,25.68328649170404,16.606173469387755,0,40.46,40.46,0.5313999999999999,2.0,17.8
