ATS4pe,AATS3Z,AATS3se,AATSC0s,BCUTd-1l,BCUTse-1h,AETA_eta_L,IC1,BIC1,PEOE_VSA3,MID_N,SLogP,TopoPSA,MaxPartialCharge,fr_lactone,sp_p
499.172,23.53333333,7.778847733,1.127886365,0.977887571,3.701952022,0.193513626,3.177435317,0.585565847,0.0,4.191332352,3.1538,32.67,0.24791728,0,13.3
729.2826,15.64485981,7.861556224,0.923712679,0.989343303,3.678980947,0.310072573,2.950249583,0.528248772,0.0,8.24957548,0.5025,107.98,0.270459241,0,6.2
173.3125,22.79310345,7.857153241,1.400471894,0.992520766,3.668020945,0.19430547,3.108458593,0.73175886,0.0,0.0,2.35402,20.23,0.118084748,0,6.5
268.214,18.39215686,7.410946275,0.289434993,1.750883572,3.296291225,0.174161956,1.955794564,0.391158913,4.983978521,2.085758272,3.388,12.89,0.070922712,0,5.4
14.52,7.75,9.176976,5.298611111,0.968068449,3.713739348,0.193854845,2.405639062,0.801879687,0.0,0.0,0.0909,37.3,0.299684553,0,8.0
333.205,12.19047619,7.142286667,0.212726757,1.734072122,3.065744175,0.21321923,2.005977711,0.391083453,0.0,0.0,3.4718,0.0,-0.023824284,0,0.6
1050.334,12.28484848,7.322053673,1.214620957,0.977233361,3.716917618,0.345445909,2.514489019,0.408876816,9.589074368,0.0,6.433,52.6,0.338516129,0,7.0
192.965,12.06060606,7.183142667,0.216735254,0.992920502,3.063705692,0.21330946,2.197159723,0.500227901,0.0,0.0,2.30344,0.0,-0.039774194,0,1.0
0.0,,,7.137197074,0.986936614,4.010235468,0.289440985,1.370950594,0.685475297,0.0,0.0,2.2836,0.0,0.333265288,0,2.0
548.533,14.35483871,7.525753892,1.766943815,0.977233356,3.716851914,0.289470459,2.748063851,0.494737581,9.589074368,0.0,3.6004,52.6,0.338505965,0,8.6
436.3849,24.27586207,8.12007,5.182917162,0.972776668,4.03057422,0.180968233,3.481562134,0.668316211,9.778515705,4.110016621,3.5422,62.22,0.415985512,0,12.1
98.89,22.60869565,7.971478261,1.633536524,0.992920502,3.6680064,0.17427577,2.469670487,0.617417622,0.0,0.0,2.0456,20.23,0.11517976,0,7.5
311.973,16.52173913,7.59105113,1.575733333,0.972141002,3.713951335,0.208504429,2.849025574,0.580617301,4.794537184,0.0,2.3059,26.3,0.332940815,0,4.1
62.7,8.857142857,7.063996,0.25,1.701,3.049,0.166666667,1.0,0.255958025,0.0,0.0,1.6866,0.0,-0.062268571,0,0.0
67.034,5.333333333,7.252551429,1.868055556,0.986001079,3.667325083,0.39398935,1.947338796,0.562907151,0.0,0.0,0.3887,20.23,0.04278928,0,6.8
