Ratio_PSA,SMILES_PSA,Ratio_PI,SMILES_PI,Td5
0.9,C#Cc1cccc(C#C[Si](C)(C#Cc2cccc(C#C)c2)C=C)c1,0.1,C#CC1=CC=CC(N2C(C(C=CC(OC3=CC=CC(C(N4C5=CC=C(OC6=CC(OC7=CC=C(N8C(C(C(OC9=CC=C(C(N(C%10=CC=CC(C#C)=C%10)C%11=O)=O)C%11=C9)=CC=C%12)=C%12C8=O)=O)C=C7)=CC=C6)C=C5)=O)=C3C4=O)=C%13)=C%13C2=O)=O)=C1,601.9
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc(C#Cc8ccccc8)cc7C6=O)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(N6C(=O)c7ccc(C#Cc8ccccc8)cc7C6=O)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,527.4
1.0,C#Cc1cccc(C#C[Si](C)(C)O[Si](C)(C)C#Cc2cccc(C#C)c2)c1,0.0,C#Cc1cccc(C#C[Si](C)(C)O[Si](C)(C)C#Cc2cccc(C#C)c2)c1,446.0
1.0,C#Cc1cccc(N[SiH](C)Nc2cccc(C#C)c2)c1,0.0,C#Cc1cccc(N[SiH](C)Nc2cccc(C#C)c2)c1,632.4
1.0,O=C(c1ccc(-c2ccc(N3C(=O)c4ccc(C#Cc5ccccc5)cc4C3=O)cc2)cc1)c1cc(C(=O)c2ccc(-c3ccc(N4C(=O)c5ccc(C#Cc6ccccc6)cc5C4=O)cc3)cc2)cc(C(=O)c2ccc(-c3ccc(N4C(=O)c5ccc(C#Cc6ccccc6)cc5C4=O)cc3)cc2)c1,0.0,O=C(c1ccc(-c2ccc(N3C(=O)c4ccc(C#Cc5ccccc5)cc4C3=O)cc2)cc1)c1cc(C(=O)c2ccc(-c3ccc(N4C(=O)c5ccc(C#Cc6ccccc6)cc5C4=O)cc3)cc2)cc(C(=O)c2ccc(-c3ccc(N4C(=O)c5ccc(C#Cc6ccccc6)cc5C4=O)cc3)cc2)c1,547.0
1.0,C#CCOc1ccc(C(C)(C)c2ccc(OCC#C[Si](C)(C)C#CCOc3ccc(C(C)(C)c4ccc(OCC#C)cc4)cc3)cc2)cc1,0.0,C#CCOc1ccc(C(C)(C)c2ccc(OCC#C[Si](C)(C)C#CCOc3ccc(C(C)(C)c4ccc(OCC#C)cc4)cc3)cc2)cc1,422.0
0.8,C#CC1=CC=CC(C#C[Si](C=C)(C#CC2=CC=CC(C#C)=C2)C)=C1,0.2,C#Cc1cccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N(c4ccc(Oc6cccc(N7C(=O)c8ccc(-c9cccc%10c9C(=O)N(c9cccc(C#C)c9)C%10=O)cc8C7=O)c6)cc4)C5=O)cc3C2=O)c1,613.0
1.0,C#C[Si](C#CB(F)F)(c1ccccc1)c1ccccc1,0.0,C#C[Si](C#CB(F)F)(c1ccccc1)c1ccccc1,595.0
1.0,C#Cc1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C)c2)c1,0.0,C#Cc1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C)c2)c1,640.0
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc2c(c1)-c1ccccc1-2,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc2c(c1)-c1ccccc1-2,587.0
1.0,C[Si](C)(C#CB(F)F)C#CB(F)F,0.0,C[Si](C)(C#CB(F)F)C#CB(F)F,485.0
1.0,C#Cc1cccc(N2COc3c(cc(/C=C/C)cc3OC)C2)c1,0.0,C#Cc1cccc(N2COc3c(cc(/C=C/C)cc3OC)C2)c1,395.0
1.0,C(#C[Si](OB(O[Si](C#Cc1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,0.0,C(#C[Si](OB(O[Si](C#Cc1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,625.0
