MINtsC,AXp-3d,GATS2c,EState_VSA9,BCUTare-1l,RotRatio,MDEC-33,GATS2dv,ETA_dAlpha_B,VSA_EState3,AATS3are,AATS0v,EState_VSA4,AATS3d,Td5
2.4298005923613344,0.2078755995743814,1.4175006509571253,31.79415160644072,1.6824045321937662,0.25,0.9128361498274138,1.1621733106618808,0.0,0.0,6.182941176470587,256.870211599427,0.0,2.92156862745098,438.0
3.061280085300907,0.1710102258983315,0.8029561402283848,18.9474518152002,2.144633713650065,0.1111111111111111,0.0,0.7025979808525754,0.025531914893617,0.0,6.451930599369086,278.74839425739566,30.7265419067959,3.864353312302839,540.0
2.724215170528149,0.1766633220238006,1.3226046848780408,22.320425698840616,2.156489666943443,0.0909090909090909,8.333425874336802,1.1696061140505585,0.0136752136752136,0.0,6.031880952380952,241.6668665873409,47.09021201115407,3.583333333333333,365.0
3.061697142770157,0.1693959146700078,0.8270281312104287,18.9474518152002,2.144633713650072,0.1111111111111111,0.0,0.6812424191245335,0.025531914893617,0.0,6.45439116719243,278.74839425739566,30.7265419067959,3.914826498422713,521.0
2.724215170528149,0.1766633220238005,1.3226046848780408,22.320425698840616,2.15648966694344,0.0909090909090909,8.333425874336802,1.1696061140505585,0.0136752136752137,0.0,6.031880952380952,241.6668665873409,47.09021201115407,3.583333333333333,458.0
2.621413424399813,0.2054513533503216,1.0435111913658934,12.846699791240518,1.6824049625978066,0.0,1.2034259748353635,0.8036400529618828,0.0,0.0,5.705897435897435,290.24515301708453,22.253805966787983,2.923076923076923,612.0
3.0594970421998227,0.1685768186304521,0.7742164502990245,9.473725907600098,2.144633713624797,0.0909090909090909,0.0,0.6751351724112223,0.024031007751938,0.0,6.380931506849316,280.73841674884994,30.7265419067959,3.9315068493150687,493.0
2.6435864878783417,0.1988137333365597,1.0852618645757552,12.846699791240518,1.697825715156001,0.0344827586206896,2.019847727718784,1.0852944809346663,0.0,1.1932489816914422,5.632482758620689,302.6425249921771,22.253805966787983,3.1954022988505746,755.0
3.008482858967356,0.1641169833003279,0.7590994572541806,23.684314769000245,2.134252657551184,0.0975609756097561,0.0,0.5166155394985555,0.0443021346469621,1.1785378066408905,6.683094420600859,280.08295836820656,133.46007550615548,4.296137339055794,576.0
3.186414654716532,0.1672293399222161,0.8393990371689154,18.9474518152002,2.134252869782039,0.1079136690647482,0.0,0.7105265027557698,0.0199999999999999,2.592140881957902,6.297772093023256,277.6323650302431,42.82607385741853,4.04186046511628,548.0
2.7425284326922665,0.1756816120908393,1.295374483503543,22.320425698840616,2.1564893759798225,0.1111111111111111,10.327383806890046,1.164147004147004,0.0111111111111111,0.0,5.967059360730594,236.33526539295235,47.09021201115407,3.5433789954337898,371.0
2.628765418065261,0.1868426142546267,1.156544461063605,33.422435283432776,1.6873350036222292,0.2272727272727272,0.5867267035153305,0.7838933084161387,0.0,0.0,6.169090909090909,281.94878982404566,22.253805966787983,2.707070707070707,489.0
2.603767764493408,0.2035747092736874,1.1026683613327526,14.741444972760537,1.7312668780374665,0.0487659574468085,1.0830833773518274,0.8347154902307758,0.0029268292682926,0.0,5.764620169087768,292.3045183054432,21.988389262449378,3.1422952963706856,601.9
2.950168814597068,0.1600643852378559,0.7482960183455982,0.0,2.144633713583384,0.0652173913043478,37.14679778981001,0.5132548644090394,0.0372721928277485,0.0,6.609223880597016,282.7092259984699,9.799819461700956,4.164179104477612,527.4
2.6317864247789906,0.1988894167094791,1.270646603854047,16.96184688967897,1.685672861618047,0.0714285714285714,1.032989831192456,0.7888953017238868,0.0,0.0,5.897647058823529,287.2313721020622,22.253805966787983,2.843137254901961,446.0
2.6382367760005745,0.2002790042277123,0.9822525476655174,12.846699791240518,1.7098983697780474,0.1904761904761904,1.4708413767164403,0.998667810425866,0.0,0.0,5.88387012987013,269.1279112600837,22.50167553276112,2.8701298701298703,632.4
3.08343253094126,0.1740629959224716,0.7780625188713216,0.0,2.144633712545441,0.1,0.0,0.7194477085781434,0.0171428571428571,0.0,6.152585365853658,279.8064252628806,64.7707926178244,3.804878048780488,547.0
2.4887990599667864,0.1927217275878202,1.3063890626323211,31.79415160644072,1.6824003060895092,0.2307692307692307,3.039545719135587,1.1608882789705983,0.0,0.0,5.968235294117647,240.5681801943551,22.99804733313562,3.107843137254902,422.0
2.5938925309370875,0.1986576154570757,1.054060641340452,13.794072382000529,1.7785136798471275,0.051047619047619,0.962740779868291,0.8085963012582831,0.0052054794520547,0.0,5.826717423072965,291.6854411231739,21.72297255811077,3.2742821858598337,613.0
1.97019211388259,0.1805901742448029,0.6931690646317361,6.423349895620259,1.68540413544513,0.0952380952380952,0.4999999999999999,0.7094737631700339,0.0,1.6978703703703708,5.613396875000001,317.93936049110533,10.373451291374916,3.5625,595.0
2.621413424399813,0.2054513533503216,1.0435111913658934,12.846699791240518,1.6824049625978066,0.0,1.2034259748353635,0.8036400529618828,0.0,0.0,5.705897435897435,290.24515301708453,22.253805966787983,2.923076923076923,640.0
3.0853079110792923,0.1647597541852799,0.7341455628125154,0.0,2.144633736565029,0.0277777777777777,14.722969651574854,0.7020369347812748,0.0139784946236559,0.0,6.096326923076924,282.6266335346867,22.253805966787983,3.875,587.0
1.6404793398841018,0.2330774219639448,0.4550016292472626,0.0,1.6822945276803385,0.0,,0.2384375771033802,0.0,0.0,6.149826666666667,352.5585145149951,0.0,2.6,485.0
