,AATSC2c,AATSC0s,AATSC0are,BCUTv-1l,ETA_shape_y,ETA_dEpsilon_D,PEOE_VSA8,SlogP_VSA2,VSA_EState3,TopoPSA(NO),sp_h,sp_h_pre,split
277,0.000700498064387,2.425432098765431,0.1806222222222221,14.701398302088892,0.3157894736842105,0.0,5.573104530069267,13.079102829229384,0.0,26.3,5.4,6.970569354424384,train
278,-0.0026961046585963,1.6428571428571423,0.1934693877551019,14.701004321587732,0.09375,0.0,13.530619164203545,39.00371511051644,0.0,44.760000000000005,9.2,6.862040114875918,train
279,-0.0018922411724976,0.0164823388203017,0.049275,20.47559558880652,0.1578947368421052,0.0,0.0,7.472884188864462,0.0,0.0,8.2,4.550545975745597,train
280,0.0014376927901846,1.0503117913832205,0.0688775510204081,14.701441780261556,0.0517241379310344,0.0226984126984126,6.4208216229260096,11.075832682792557,8.51732177827958,37.3,5.5,6.587789271265507,train
281,0.0146383931068742,2.7912557527942146,0.2637869822485206,14.700388030239344,0.3333333333333333,0.0,0.0,18.86621398179998,0.0,35.53,4.1,6.241138050501101,train
282,-0.0012924583024148,0.25,0.0224999999999999,20.28052627611552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1487695689800743,train
283,-0.0018068541774822,4.122448979591838,0.1934693877551019,14.70272141181812,0.0,0.0,0.0,6.286160523129555,0.0,17.07,11.3,8.055856491368875,train
284,0.0048783549186593,0.4673406831614421,0.0661999999999999,20.363752094304733,0.2058823529411764,0.0,0.0,0.0,0.0,0.0,5.1,2.591713496512993,train
285,0.0016331729497312,2.7086795937211448,0.1947922437673129,14.701165267923464,0.3,0.0507575757575756,0.0,18.18563022407009,8.859038170823885,46.53,14.7,12.134683504560918,train
286,-0.0004419054596723,0.2176870748299319,0.0224489795918367,20.2319191887731,0.2727272727272727,0.0,0.0,0.0,2.6828703703703707,0.0,4.7,2.180964997880708,train
287,-0.0080344812511076,2.1041666666666665,0.2190972222222222,14.705859309962598,0.0,0.1177777777777776,0.0,49.854346576758914,16.526276927437642,58.92,18.6,18.40346849294791,train
288,-0.0068774508845132,3.333333333333333,0.2255555555555555,14.708166100233274,0.0,0.2611111111111112,7.109797541277533,12.21632493611824,7.0,20.23,22.3,23.359533363338485,train
289,-0.0011886270686751,1.5513580246913576,0.1088888888888888,14.70816563120094,0.2142857142857142,0.0922222222222222,6.606881964512918,11.713409359353625,8.143518518518519,20.23,15.9,14.025461232281984,train
290,-0.000399134193766,0.5537109375,0.0530683593749999,15.59610239659687,0.0,0.1371428571428571,0.0,6.544756405912575,0.0,26.02,8.0,11.816048619463682,train
291,-0.0001023539159941,0.0136008230452674,0.045504,20.573425869380927,0.1111111111111111,0.0,0.0,2.6457101185676493,0.0,0.0,0.4,3.047170544524401,train
292,-0.0057555562416932,0.4733333333333334,0.1366515555555555,14.706820665292332,0.0,0.0849206349206349,13.08951281182515,26.303276740850983,3.1597222222222223,21.26,9.2,11.064757410762228,train
293,0.0013645445569332,1.8858024691358024,0.1297222222222221,14.708165716809814,0.2727272727272727,0.1183333333333334,6.103966387748303,11.210493782589008,8.055555555555555,20.23,16.4,15.69154619741998,train
294,-0.0005471300836775,1.3033854166666663,0.1142147460937499,14.701466952119462,0.1415094339622641,0.0,12.393687143226153,17.560165773411974,0.0,39.19,7.1000000000000005,5.87759260674211,train
295,-0.0021028019098914,0.5733333333333334,0.1475999999999999,14.706878227503406,0.2727272727272727,0.0,0.0,12.71084835226122,0.0,12.53,6.7,7.223730133594142,train
296,0.0031220310329853,1.5683333333333327,0.1088888888888888,14.708165524994188,0.0,0.0922222222222222,0.0,10.707578205824394,8.520833333333332,20.23,14.7,12.966709762414988,train
297,-0.0018213176126764,0.0410242341106538,0.0794159999999999,20.566678666228857,0.0,0.0,0.0,5.33918526701467,0.1944444444444446,0.0,6.1000000000000005,4.751078527010501,train
298,0.0037199314018227,2.43283950617284,0.1806222222222221,14.70147056810017,0.1578947368421052,0.0,6.076020106833881,12.576187252464766,0.0,26.3,5.5,6.799585389301656,train
299,0.0133899557721966,3.553333333333333,0.1887254399999999,14.70178023197424,0.2586206896551724,0.085128205128205,0.0,17.845473971041084,4.185277777777777,75.27000000000001,8.7,10.886976764518876,train
300,-0.0045402486267268,0.5234190672153637,0.1556009999999999,14.706878147805265,0.1962616822429906,0.0,0.0,18.59085179723156,0.0,12.53,6.6,6.951908646862858,train
301,-0.0016184114217772,0.2563990355162568,0.0525745844875345,15.58919547242044,0.2522522522522522,0.0,22.831310926364257,30.523988623064643,0.7741948538674731,16.130000000000003,6.5,6.201937097020703,train
302,-0.0007382776420347,1.9077277970011528,0.09439446366782,14.702719481694846,0.2307692307692307,0.0,5.563451491696996,5.783244946364939,0.0,17.07,3.7,6.416681988109483,train
303,-0.0024710402780089,0.437869822485207,0.1207100591715975,14.70682177192102,0.0,0.0,13.213763929025836,13.213763929025836,0.0,9.23,8.0,6.338515109619942,train
304,-0.0029941195620142,2.0567107750472595,0.1824952741020793,14.706207015901343,0.0,0.119191919191919,26.427527858051672,36.64058264773308,16.586798469387755,49.69,17.7,18.637573675542075,train
305,0.0088933527694338,3.568589480523922,0.2556365650969529,14.701263358622214,0.0,0.0,0.0,21.63156091335477,0.0,52.60000000000001,7.2,6.749811313233149,train
306,6.123239449792653e-05,1.4522448881172842,0.0763888888888888,14.702719655613803,0.2068965517241379,0.0,6.4208216229260096,5.783244946364939,0.0,17.07,7.4,6.182597257931391,train
307,0.0017638669851522,1.4288194444444442,0.0998437499999999,14.70816431806332,0.2608695652173913,0.0550925925925925,0.0,5.106527394840706,8.813055555555556,20.23,12.9,12.337806663121786,train
308,-0.0001145348589488,0.2167352537722908,0.0222222222222222,20.26687100360633,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5258369412279844,train
309,0.0001111985284645,0.9964204835999706,0.0799938198553582,14.702711336544285,0.2950819672131147,0.0273420479302831,5.687386274683562,30.44135867793971,2.996990740740741,32.34,6.7,7.463217811333315,train
310,-0.0006120602160699,1.5369822485207103,0.1318025147928993,14.701467495809345,0.1648351648351648,0.0,12.393687143226153,17.560165773411974,0.0,39.19,7.7,5.991634051391464,train
311,-0.0015793857777358,1.8303514348253147,0.1407909722222221,14.70816568156632,0.0,0.1150793650793651,12.486885409483255,17.59341280432396,7.981805555555556,20.23,14.7,16.092622829482607,train
