,VE1_A,ATSC2Z,ATSC0i,AATSC2c,MATS2m,MATS7are,GATS7dv,GATS4s,ETA_eta_BR,EState_VSA5,MID_O,BCUT2D_CHGHI,log_110,vis_pre,split
17,7.559850824797003,28.452437574316384,169.47807123843964,0.0045783307309353,0.0168931087598925,-0.1136915903741382,1.0495830856846984,1.008743524947429,2.186102980334096,72.79640482153933,22.79091554112965,2.427773312312186,6.747184204,6.747182637688201,train
25,7.371512927529416,140.7877672488058,166.0333220289948,0.0041390180632914,0.1034678791760626,-0.0421478250753424,1.0113768869559736,0.9323188129322282,2.228225518071352,36.39820241076966,18.62625399467085,2.430605773611749,7.138995211,7.138995443877317,train
21,7.443718623468041,28.79927437641728,154.5118168241356,0.0049593847683941,0.0197486187828183,0.0632655445155042,0.9509852793676916,1.0194977135743952,2.049592723117268,84.92913895846256,20.705975773718524,2.425624362976281,6.982566168,6.9825638210781715,train
23,7.61023795119231,126.43061728395072,195.9540024759332,0.0040475298469977,0.0763185042799706,0.0015778003907359,1.0211970735845055,0.94572480905261,2.561759549289028,36.39820241076966,22.77810243454883,2.428864718222284,6.827027251,6.827023475902809,train
24,7.443718623468041,35.9634029172854,157.22688322646903,0.0044112949874588,0.0250375500728168,-0.0431752993006816,1.0183271679619754,0.9588323287205892,2.049592723117268,48.53093654769288,18.62824320275997,2.425259493891785,6.842195981,6.8421983638737665,train
14,6.884116895484933,313.0624320734209,402.43301272436594,0.0038067190686297,0.1372934158686332,0.1420420931913992,1.0185196673636878,0.8488254227017294,4.000093201632534,48.53093654769288,26.92265384096984,2.446581843783291,6.949204503,6.949202614533122,train
18,7.544723777348877,28.452437574316388,169.47807123843967,0.0047016295427566,0.0168931087598925,0.0351822285000884,0.9818089303905098,1.0209460675879225,2.186102980334096,60.6636706846161,22.78532352533253,2.4263397960247053,6.626157463,6.626160950329105,train
9,7.44597457245161,212.0000000000001,237.2528699827628,0.003748320092341,0.1040432154843543,0.0310715082385112,1.022370369467584,0.9424668305941236,3.107599880271993,0.0,24.8290358520698,2.4146190186780507,6.729213421,6.729216983619952,train
4,7.707756983561451,214.997705995412,579.9614929662673,0.0041485008400801,0.14301237818427,0.3010556454758371,0.6645403989170012,0.7982134601058164,4.3175419155484,36.39820241076966,16.527325138081668,2.7432651633619054,6.962004495,6.962002015833135,train
19,7.540076905032239,28.452437574316377,169.47807123843964,0.0048267150258187,0.0168931087598925,0.0782977279985044,0.9304223071306166,1.0337233676716269,2.186102980334096,60.6636706846161,22.781627134192988,2.4262671455736875,6.805735461,6.805735689868297,train
16,6.599795607715673,314.6836975479636,387.1629057670837,0.0038252920345043,0.146531344852083,0.1670518237962198,0.9739563222601088,0.8355768835868851,3.863582944415706,60.6636706846161,24.84670994795067,2.450888171824798,6.92384597,6.92384913644639,train
20,7.374769143886911,28.79927437641728,154.51181682413562,0.0048913998838391,0.0197486187828182,-0.0216220228593218,0.9989973536768422,1.0132993399523462,2.049592723117268,78.86277189000094,20.708716512512268,2.4264683357017764,7.008496677,7.008498487631008,train
27,7.310433299118451,98.8654545454545,303.4549173487027,0.0047666815627597,0.0797970678506754,0.3246368237923345,0.9785505031859324,0.94810569084221,2.788739034855372,97.0618730953858,18.632283721182898,2.458466343354589,6.903111423,6.903111715198241,train
0,7.51956939921623,165.6666666666666,466.2236723750547,0.0039123650291521,0.1056010427676327,0.4383300361663156,0.6274408252364848,0.7997512154728577,3.698069108621515,121.32734136923226,18.589116055077856,2.7423511202005666,7.185972724,7.18597247814681,train
7,8.410288303871871,210.3858471074378,252.218188129654,0.0037346500349817,0.0965408661170876,0.0421597948236553,1.0063291105180765,0.9598649428896096,3.2441101374888213,0.0,26.904685749605846,2.415649826817053,6.722866617,6.722865815177281,train
2,7.683945657861711,221.8160050409577,598.4999747790474,0.0040999575856645,0.1347037893164913,0.3046322617304485,0.716313962139373,0.8053591777820897,4.454052172765229,48.53093654769288,18.603273917198248,2.7435819576485123,6.691622621,6.69162396510168,train
10,4.3411073474437325,303.13872452334,420.361652919736,0.0034235532322371,0.1236848075766159,0.2568734467391128,0.859065550906555,0.8193600251800472,4.1197667064437535,84.92913895846256,26.906121081946907,2.723475399566115,7.005468648,7.005468362123158,train
22,4.426808380665702,102.14222222222214,338.0684138064844,0.0042117546364128,0.0645441636312343,0.3026566765380883,0.7677616501145914,0.8737962399825894,3.061759549289028,133.46007550615548,22.78306001377988,2.722598514663072,7.049531882,7.049532461935279,train
