,AATS2d,AATS1p,AATS3i,GATS1i,ETA_shape_p,AETA_beta,fMF,IC1,SIC4,PEOE_VSA10,VSA_EState6,MID_C,piPC4,Chi3v,SMR_VSA10,sp_d,sp_d_pre,split
126,3.3157894736842106,2.0540219404615385,156.6610719259777,0.8379230740806074,0.2588235294117647,1.4375,0.4615384615384615,2.469670487371862,1.0000000000000002,5.749511833283905,6.669135802469135,12.044270037280167,3.803880846808443,1.1720653149186553,11.600939890232516,20.3,19.51603911078686,train
127,3.032258064516129,1.8003793039999996,149.85782173286714,1.0228826394173192,0.3076923076923076,1.25,0.3157894736842105,2.720582776146013,0.8078347747194917,5.749511833283905,5.363425925925927,15.633839062813555,3.986666548423912,1.4904918520926438,0.0,17.0,17.923395902582733,train
128,1.9259259259259256,1.30706565325,174.79042026408626,1.9648571206630112,0.2222222222222222,0.5714285714285714,0.0,1.96981578242681,0.6546109993625047,0.0,0.0,7.505742693252298,1.3862943611198906,0.4712493204298682,0.0,16.6,16.268526902436097,train
129,2.022222222222222,1.40360930544,167.84223903466437,1.957868922190456,0.1851851851851852,0.575,0.0,1.984925912982332,0.8301722919988732,0.0,0.0,13.29784902377409,1.9459101490553128,1.0839258647273826,0.0,15.5,15.736890231766072,train
130,1.9696969696969693,1.3188555471578949,170.0958136610815,2.1372992289589936,0.238095238095238,0.59375,0.0,1.919240704636849,0.8524398460347836,0.0,0.0,9.33317775766973,1.6094379124341005,0.6674197060776054,0.0,16.2,16.273030326736116,train
131,2.8095238095238093,1.36390009584,168.1398917393339,1.5199053364528194,0.3999999999999999,0.5833333333333334,0.0,2.199687794731328,0.7545237843615041,24.41586555099321,0.0,11.845117911641127,2.5649493574615367,1.5124781619578975,0.0,18.6,17.315282416038595,train
132,3.8767123287671232,2.001960308604651,156.15725574323037,1.182531770273366,0.0923206042803189,1.315217391304348,0.525,3.3086949695628425,0.9624196350581788,6.544756405912575,15.69170223400893,39.48875531106791,5.2390980068880655,4.5980204817726245,28.907190897038284,15.7,18.06471660271538,train
133,1.8571428571428568,1.5270094695555554,176.7684016089396,1.4018429300921416,0.3283582089552239,1.1,0.0,2.5219280948873624,0.8795880017344075,0.0,1.7673611111111112,5.487436867076458,1.3862943611198906,0.2236067977499789,0.0,17.2,16.324888966089876,train
134,3.12,1.982392115375,154.06284080162257,0.936929429487052,0.2303664921465968,1.2777777777777777,0.375,2.875,0.96875,0.0,7.102067901234568,14.068915662215288,3.899444223221286,1.3478077653662162,11.600939890232516,18.7,18.974268002835526,train
135,4.105263157894737,2.442799738923077,153.93336578064174,0.8008732679945345,0.4521739130434782,1.4,0.4615384615384615,2.661226256269789,1.0000000000000002,0.0,2.841913580246913,12.2440380348804,4.176308500073531,1.7761145480185123,34.802819670697545,19.6,19.899005411501907,train
136,3.0,1.82445113475,153.0023501225172,0.9526031761321696,0.217391304347826,1.34375,0.375,2.702819531114783,0.9257048827786958,5.749511833283905,7.092592592592593,13.785247600747317,3.803880846808443,1.0339713779597368,0.0,18.3,18.609873796504097,train
137,1.0,4.843,,1.5,0.7692307692307692,1.0,0.0,0.9182958340544896,0.579380164285695,0.0,0.0,1.7071067811865477,0.0,0.0,28.74989105419986,20.5,19.033988389766513,train
138,3.35,1.7811280865714283,157.67197461271593,0.8136402669847761,0.1818181818181818,1.4375,0.4285714285714285,2.235926350629033,0.9624786378518296,11.49902366656781,5.851296296296296,12.039133558239683,3.852803645768175,0.8297374894999839,0.0,18.0,19.485765393704007,train
139,2.2,1.4473361982857145,162.74106640787497,1.704790797094061,0.7857142857142856,0.45,0.0,1.6879430945989,0.4320425804849019,0.0,0.0,6.875,0.0,0.0,0.0,15.2,15.473392139049642,train
140,4.225806451612903,2.0041633604210527,153.5718635771565,1.3442928143050148,0.1687116564417177,1.434782608695652,0.5,3.7697480026487926,0.9637062889893684,5.817862777835028,10.877786215566472,31.058807325338,5.32544603393629,5.256851024211377,27.50749853225029,18.9,18.34743326818498,train
141,3.875,1.7639791081142857,154.388197406348,1.2039471615669404,0.2197802197802197,0.8257575757575758,0.2537313432835821,3.2254006330395737,0.9273923628187836,5.601050810983688,0.0,52.39590817736281,4.927253685157205,9.416900306138508,23.50510046863358,18.5,18.152385280441116,train
142,1.8,2.077007317777777,169.15341220452498,1.48262515898916,0.6153846153846153,0.8125,0.0,1.570950594454669,0.4729032506370176,0.0,0.0,3.244016935856292,0.0,0.0,10.799569042904308,18.4,16.78244329931852,train
143,3.095238095238096,1.9673504185714283,152.96178853430385,0.9285634522384764,0.0869565217391304,1.46875,0.4285714285714285,1.870253816431622,1.0000000000000004,6.286160523129555,9.097685185185185,13.966437938660173,3.852803645768175,0.9356552548998028,6.286160523129555,19.4,19.13931399008436,train
144,1.7692307692307692,1.3434991184,174.81312954485327,2.0027522719560515,0.3125,0.5416666666666666,0.0,1.9197367178034823,0.8319548827786958,0.0,0.0,7.254822779142209,1.0986122886681098,0.4397488054468656,0.0,16.2,16.035593311549334,train
145,1.9545454545454544,1.4903813966153845,170.52151147486305,1.575555578526746,0.4374999999999999,0.75,0.0,2.403677461028802,0.8357523477324165,0.0,0.0,7.331607167889255,1.3862943611198906,0.4638654714909551,5.969305287951849,14.9,15.67919110269,train
146,2.156862745098039,1.6584901241772152,165.16805056386394,1.7225050064174006,0.127906976744186,0.5948275862068966,0.0,1.589215532724884,0.6205830430950205,0.0,0.0,46.2940402754238,3.5263605246161616,6.738281657005561,7.822697123132171,16.2,16.01464623806816,train
147,1.4166666666666667,1.07350622875,182.37567467659449,2.0674516416192628,0.6923076923076923,0.4166666666666667,0.0,2.113283334294875,0.7632300273809492,0.0,0.0,1.6035533905932735,0.0,0.0,0.0,16.2,16.298815008039345,train
148,4.35251798561151,1.7691369238873238,156.8066929974509,1.0807211882622454,0.2769461077844311,0.8285714285714286,0.2985074626865671,3.575483215471156,0.9021365656820854,6.1716753955102925,0.0,54.33641923870947,5.278114659230517,9.442202675252116,17.535795180681728,18.1,17.908867419221984,train
149,3.3157894736842106,2.0540219404615385,156.66160968034688,0.8379230740806074,0.2588235294117647,1.4375,0.4615384615384615,2.469670487371862,1.0000000000000002,5.749511833283905,6.359567901234568,12.037665992799544,3.803880846808443,1.0786025176356309,11.600939890232516,19.3,19.51603911078686,train
150,1.6666666666666667,2.459437724,176.33957740008998,1.432015917617474,0.7941176470588236,0.75,0.0,1.9182958340544896,0.7420981285103057,0.0,0.0,3.488033871712585,0.0,0.0,23.20187978046503,12.3,15.406770886358927,train
151,1.6666666666666667,1.1570054883333334,185.18427669615,2.3690797576143114,0.7446808510638298,0.9375,0.0,2.1280852788913944,0.7580392711198944,0.0,0.0,1.622008467928146,0.0,0.0,0.0,15.8,16.091351140810513,train
152,2.0476190476190474,1.4145008475,174.90957699637474,1.7505396579237522,0.6493506493506492,0.7916666666666666,0.0,2.0349409139562287,0.6360146706456212,0.0,-0.4259259259259262,5.261822940061224,0.0,0.421637021355784,0.0,16.2,15.83661368542395,train
153,4.125,1.7629389331249998,166.92616930658443,0.8261336275783016,0.2987697715289982,1.4423076923076923,0.375,2.9056390622295662,1.0,0.0,2.13287037037037,12.472017116625109,4.447053317890954,1.337233051471999,11.374772549367124,21.2,19.923071793998453,train
154,3.0,1.717155344666667,159.36055553949538,1.3443202985674454,0.2272727272727273,1.15625,0.2,2.866247897312731,0.7044307784698619,0.0,6.442908163265306,23.863583886553467,4.531254503037923,1.9177556725224845,11.9386105759037,17.6,17.141948346615877,train
155,3.290322580645161,1.933382235052632,148.88983638475145,1.0096034030224224,0.4056603773584905,1.25,0.3157894736842105,3.0105709342684834,0.8821744315721143,5.749511833283905,3.2962962962962963,15.73405067293137,4.176308500073531,2.0173899255977026,11.600939890232516,20.9,19.254174008167535,train
156,2.15,1.648522834264151,164.76608307705987,1.4583644580698112,0.1206896551724137,0.625,0.0,2.043985262734452,0.7754744618939066,0.0,0.0,35.27946811579093,3.091042453358316,3.652443847844729,5.969305287951849,14.3,15.482656586745854,train
157,2.1052631578947367,1.4555551572903225,168.79262723131268,1.8574685337947965,0.2424242424242424,0.5625,0.0,2.040293038892872,0.8405639062229566,6.103966387748303,0.0,17.007956911261882,2.302585092994046,1.4668283897110357,0.0,15.5,15.439843676565962,train
158,1.9,1.5999378974193543,166.54855797331558,1.6,0.2,0.45,0.0,1.1216407621868585,0.5905639062229566,0.0,0.0,18.82909733129015,1.9459101490553128,1.9571067811865472,0.0,15.8,15.452492898265588,train
159,4.357142857142857,1.9267806593333328,150.90779178823064,0.9301195548848812,0.1159420289855072,1.24,0.5384615384615384,3.708228500802584,0.9902974174606732,23.195663234330624,6.547960694825324,40.3827468394041,5.540282672102834,4.429376661684928,16.938549644058888,26.25,23.71640685510773,train
160,3.1578947368421053,1.2860538450909091,214.9239791396404,1.439903471085664,0.5771812080536913,0.625,0.0,2.125814583693911,0.5929809818837098,0.0,0.0,6.174038105676659,2.302585092994046,0.6200968572385487,0.0,17.2,16.016196083001063,train
161,2.0,1.60296954,166.1960588947965,1.571413854332357,0.3478260869565217,0.65625,0.0,1.820438145411392,0.8215245950836549,5.783244946364939,0.0,12.979229828982366,1.791759469228055,1.1323921585058765,5.783244946364939,16.2,15.463625089755308,train
162,2.0,1.493774586,172.75029452109192,1.7173372510972174,0.2727272727272727,0.625,0.3,1.7709505944546688,0.7966576244513051,0.0,0.0,5.359572341956561,0.0,0.5,0.0,15.2,16.538090000598764,train
163,1.8125,1.601524155,171.24720901812455,2.033176855669822,0.5371900826446281,0.8333333333333334,0.0,2.4040097573248604,0.8224908743082041,0.0,0.0,5.465004066965171,1.3862943611198906,0.3669265500732797,17.029427000228694,15.5,16.14818986684513,train
164,2.968421052631579,1.69484816972549,161.29582540929073,1.3690070376927292,0.1821192052980132,0.8928571428571429,0.22,2.9879199399452294,0.8040906406676146,18.460360185545124,8.286046902557318,36.07687474425778,4.464470303884956,4.01324921061491,0.0,17.3,17.55691305712417,train
165,1.736842105263158,1.6362281972727275,171.75091892216145,1.454510120786929,0.375,1.05,0.0,1.9473387961875537,0.796490490941855,0.0,2.017361111111111,7.168655300614687,1.3862943611198906,0.3618033988749894,0.0,15.3,15.531950105108475,train
166,2.95,1.8107820688,151.91447251289557,1.1699405447273703,0.2162162162162162,1.2115384615384617,0.24,2.84902557364365,0.9245895036849696,6.606881964512918,9.550942302847066,21.64821446610064,3.944006051281197,1.5612161736697794,5.969305287951849,16.8,17.44471232505358,train
167,4.098591549295775,1.9368937822325585,151.65398356291135,1.1649853169346862,0.2271821442805899,1.35,0.3902439024390244,3.716016177574024,0.9476017742103572,5.749511833283905,11.866282421404776,39.39098888098543,5.609700706711655,4.416130011147616,34.380349839616926,19.9,20.2943088739963,train
168,3.238805970149253,1.8725010741025645,154.82573732047814,1.37838431829484,0.1801801801801802,1.263157894736842,0.3421052631578947,3.04515824345902,0.8921389997879845,0.0,14.17050645978556,32.36205898403158,4.77912349311153,3.434129684204809,11.600939890232516,17.3,18.205777287225853,train
169,4.119318181818182,1.6767971005333335,156.1513572593219,1.2473437501501266,0.2162162162162162,0.7134146341463414,0.3411764705882353,3.1525924125861686,0.9458335702971608,24.918781127757825,0.0,61.691514336441074,5.214935757608986,12.171637429982852,5.969305287951849,18.9,17.943019796285142,train
170,2.508196721311476,1.6925230875757575,162.54538189635085,1.4196167853444566,0.1249999999999999,0.875,0.0909090909090909,2.347526140401402,0.7204778490355241,0.0,6.743601491224701,47.684631511181706,4.652769164787371,4.828986598940965,11.9386105759037,16.6,16.53213563974147,train
171,3.0595238095238093,1.6089807631739128,165.92852717994285,1.896069919843388,0.1845637583892617,0.8809523809523809,0.2444444444444444,2.950249582629432,0.768205289178747,12.71084835226122,0.0,25.76030074965721,4.416579016180541,3.535449742992379,17.54605012303364,17.3,17.842308620145,train
172,3.43956043956044,1.8894139765882352,158.6565738082551,1.074886912137775,0.1326259946949602,1.1634615384615383,0.4489795918367347,3.353225274459425,0.9054960523999126,5.817220841045895,13.08711689860364,43.35273423534344,4.975008116453105,5.361145602097039,17.384184836597456,17.2,17.92748648965291,train
173,2.7,1.577433674375,165.82439291551125,1.939383208752268,0.2577319587628865,0.8571428571428571,0.3125,2.216917186688699,0.8319548827786958,0.0,0.0,9.658794659254673,2.4849066497880004,1.3099203436587057,5.907179729351506,18.0,17.32838590992272,train
174,3.7142857142857135,2.031606120555556,151.04868420537048,1.009155903941381,0.0,1.6,0.5882352941176471,2.130926080730337,0.9712175832802088,0.0,10.195462962962964,18.640347003911312,4.721841492791785,1.5497924855382892,10.772448428929591,18.9,19.32362805808721,train
