AATS2p,AATS3i,GATS1p,VE2_Dzi,Mp,ETA_alpha,AETA_beta_ns,fMF,SIC3,PEOE_VSA10,SMR_VSA10,sp_d
2.233564137777778,155.47774309614414,0.5483742032891515,0.3488274895302431,0.8506572854291417,4.428571428571429,0.875,0.5,0.7210570543488701,0.0,23.20187978046503,19.2
1.4553731331748845,155.30396463018744,1.10994005285962,0.3280561849631724,0.6561586474110603,4.166666666666666,0.7777777777777778,0.3529411764705882,0.8452241730691281,0.0,0.0,18.0
1.5382099256364667,149.46475581176057,1.0625000000000002,0.3471825374147068,0.666265136393879,4.0,0.75,0.3333333333333333,0.6334896111932238,0.0,0.0,17.6
1.858146838888889,150.63920318616508,0.8369565217391307,0.2858431788113272,0.7269442025040826,6.0,1.0,0.5454545454545454,0.6788239796724709,0.0,0.0,21.5
1.39608180555168,163.76544833788196,1.020738202026188,0.4409871074901254,0.6486199600798401,2.833333333333333,0.0,0.0,0.5305768217953362,0.0,11.761884949391115,16.8
1.3343782874645738,160.29872059756968,1.399696643077713,0.184730254349495,0.6226286880783886,13.333333333333334,0.3214285714285714,0.0909090909090909,0.6866128235872253,0.0,11.9386105759037,16.6
1.9397999395,151.38206963199795,0.7944172677183066,0.2642535795124536,0.7500946888831035,6.9,1.0,0.6086956521739131,0.9231079201886944,0.0,21.80584986416212,19.6
2.198383693157895,155.2974877304943,0.4791512371005231,0.3277111920023419,0.8221636112390602,4.761904761904762,0.8333333333333334,0.4615384615384615,1.0000000000000002,5.749511833283905,23.20187978046503,21.3
1.6405031790077649,156.06161525880557,1.0211182782315686,0.2395098675538817,0.6741176130497629,7.8,0.6176470588235294,0.4137931034482758,0.8615163659773635,0.0,17.845473971041084,18.2
1.165926018966102,167.0490838980761,1.595649943121402,0.328281001773017,0.5802677755599911,4.333333333333333,0.0,0.0,0.7739592896825362,0.0,0.0,16.2
1.192153346355577,166.25036313558812,1.6125294510892936,0.209730498259958,0.5981497219846023,10.333333333333334,0.1363636363636363,0.0,0.6878657189069397,0.0,11.9386105759037,14.5
1.37351156714245,164.88857114911482,1.1559493338094309,0.3718282885679685,0.6427801934592352,3.1666666666666665,0.5714285714285714,0.3846153846153846,0.958424899318874,12.36712938338736,0.0,17.4
1.582092211503299,153.08376807421064,1.1300937745194175,0.1933952602721201,0.6317770530367834,12.16666666666667,0.1538461538461538,0.3035714285714285,0.921559521913216,12.207932775496603,11.566489892729878,19.0
1.3052441737807616,163.11665506367547,1.4285714285714282,0.3755832771586201,0.5995181636726546,3.5,0.0,0.2857142857142857,0.6502045839535272,0.0,0.0,16.0
1.661310155,157.6719899900939,0.7957312854189353,0.3490104123424368,0.6682958939264327,3.6666666666666665,0.875,0.4285714285714285,0.7373504649628064,0.0,0.0,20.0
4.752400000000001,,2.5,0.4403536734374855,1.2443113772455092,3.3571428571428577,0.0,0.0,0.3109175070825711,0.0,46.40375956093006,17.8
1.755069281173582,151.1710893418136,0.9092609920623028,0.226119268157724,0.6978969696969698,9.0,0.7894736842105263,0.3939393939393939,0.8993488907313026,0.0,11.75255023431679,19.5
1.3423607889427145,162.74924140861657,1.3416529962340675,0.2536208333092297,0.6377148390718563,7.066666666666667,0.5,0.1875,0.8827819531114784,0.0,5.969305287951849,16.6
1.7007857083165556,150.84292969426244,1.5165110829484956,0.1933926615604319,0.7123283603006754,12.833333333333334,0.8076923076923077,0.4680851063829787,0.6491764967646625,17.248535499851716,7.822697123132171,19.0
1.8078028712374168,159.08359659223584,0.5107668158642313,0.3279504828788692,0.7136059505988025,4.514285714285714,0.8333333333333334,0.375,0.875,0.0,22.97571243959964,19.0
1.2158595240287895,173.19998569064143,1.0045275701854302,0.4409076333640795,0.6317141217564869,2.5476190476190474,0.0,0.0,0.8605285271744351,0.0,11.600939890232516,17.5
1.196380864367353,161.17634445856072,1.5371528427241783,0.34879553664829,0.5875902994011976,3.6666666666666665,0.1875,0.0,0.7192842873161823,5.783244946364939,5.783244946364939,15.8
1.0782655815805384,169.7616955474164,1.6454118475780486,0.402058233899227,0.5595782185628743,2.6666666666666665,0.0,0.0,0.6014097655573916,0.0,0.0,15.7
1.030263251050617,169.20021910708795,1.854318768715476,0.2629288532299439,0.5854853821768229,6.333333333333333,0.1071428571428571,0.0,0.7975441203011776,6.606881964512918,5.969305287951849,16.0
0.85008709881225,171.1791081722219,2.0921198284791065,0.4410120619848802,0.5503613081529248,2.1666666666666665,0.0,0.0,0.8180073353228107,0.0,0.0,16.2
0.8360456501073846,182.33471616627853,1.907253819041806,0.5709410244635842,0.541766999334664,1.3333333333333333,0.0,0.0,0.7632300273809492,0.0,0.0,15.8
1.3643531507618376,166.07078700589713,1.0648343938151217,0.328416636203661,0.6610640433418876,4.761904761904762,0.0,0.0,0.403508826968349,10.120465266056035,23.20187978046503,19.0
5.668109325,,0.7070713165424434,0.4928130070851739,1.3756638323353294,4.5,0.0,0.0,0.5904362833084089,2.6457101185676493,47.78983169384804,16.6
1.9008970704761905,158.2119487733335,0.5996550088969206,0.3122512256458023,0.7515471343028228,4.780952380952381,0.85,0.4285714285714285,0.9624786378518296,5.022633313741326,17.28832616491608,19.6
1.132261193775925,158.88421190065665,1.7141808475202944,0.3285740279034583,0.5891461077844311,4.166666666666666,0.1666666666666666,0.0,0.7210783055808013,5.783244946364939,5.783244946364939,15.3
1.5613886447767475,153.24434936320094,1.1688331674108168,0.2012386084341346,0.6288855431993156,11.5,0.1041666666666666,0.3035714285714285,0.8946389567122593,5.601050810983688,5.783244946364939,18.4
