AATS1p,AATS3p,AATS3i,GATS1p,Mp,AETA_beta,AETA_beta_ns,fMF,SIC3,MIC1,PEOE_VSA10,MID_C,piPC9,HeavyAtomMolWt,SMR_VSA10,sp_d
2.372398103333333,1.9443290797403328,155.47774309614414,0.5483742032891515,0.8506572854291417,1.4375,0.875,0.5,0.7210570543488701,27.3269856213344,0.0,12.044270037280167,0.0,142.97199999999998,23.20187978046503,19.2
1.7106469503529411,1.3151612398766783,155.30396463018744,1.10994005285962,0.6561586474110603,1.3611111111111112,0.7777777777777778,0.3529411764705882,0.8452241730691281,22.026271943987943,0.0,13.912088763430573,0.0,116.07499999999996,0.0,18.0
1.858146838888889,1.428381492415091,149.46475581176057,1.0625000000000002,0.666265136393879,1.25,0.75,0.3333333333333333,0.6334896111932238,15.27126357493144,0.0,15.532829208695087,0.0,96.08799999999998,0.0,17.6
2.060484482608696,1.5070992756259132,150.63920318616508,0.8369565217391307,0.7269442025040826,1.5416666666666667,1.0,0.5454545454545454,0.6788239796724709,10.50882045908678,0.0,24.594433723682137,5.731873776697638,144.13199999999998,0.0,21.5
1.885660221428572,1.1237304290911667,163.76544833788196,1.020738202026188,0.6486199600798401,0.4,0.0,0.0,0.5305768217953362,18.05582230080422,0.0,6.996320343559642,0.0,80.11099999999999,11.761884949391115,16.8
1.6925230875757575,1.146398226901182,160.29872059756968,1.399696643077713,0.6226286880783886,0.875,0.3214285714285714,0.0909090909090909,0.6866128235872253,23.299654823299747,0.0,47.3528758839075,5.42012009020057,352.26000000000016,11.9386105759037,16.6
2.1096199516,1.6164705264528236,151.38206963199795,0.7944172677183066,0.7500946888831035,1.6071428571428572,1.0,0.6086956521739131,0.9231079201886944,18.05550167584577,0.0,27.424279321070248,7.743963979492923,170.14999999999998,21.80584986416212,19.6
2.2484108396923075,1.808900069167348,155.2974877304943,0.4791512371005231,0.8221636112390602,1.4166666666666667,0.8333333333333334,0.4615384615384615,1.0000000000000002,34.334684229652794,5.749511833283905,12.143283228246991,0.0,158.971,23.20187978046503,21.3
1.82154359,1.4273223531784287,156.06161525880557,1.0211182782315686,0.6741176130497629,1.25,0.6176470588235294,0.4137931034482758,0.8615163659773635,28.80133711191013,0.0,24.643174457162527,4.817252789942876,220.143,17.845473971041084,18.2
1.551025432923077,0.9162505702389696,167.0490838980761,1.595649943121402,0.5802677755599911,0.4722222222222222,0.0,0.0,0.7739592896825362,14.286133307708308,0.0,14.97486941196042,0.0,112.08699999999996,0.0,16.2
1.5950917552727273,0.963763841752115,166.25036313558812,1.6125294510892936,0.5981497219846023,0.6818181818181818,0.1363636363636363,0.0,0.6878657189069397,19.5138814812056,0.0,35.01762373690883,2.772588722239781,280.194,11.9386105759037,14.5
1.6366238104615385,1.0193111021697998,164.88857114911482,1.1559493338094309,0.6427801934592352,1.1785714285714286,0.5714285714285714,0.3846153846153846,0.958424899318874,25.55276232209065,12.36712938338736,9.893360282592663,0.0,92.05299999999998,0.0,17.4
1.784750853016949,1.4031582710020214,153.08376807421064,1.1300937745194175,0.6317770530367834,0.7596153846153846,0.1538461538461538,0.3035714285714285,0.921559521913216,29.005658353022312,12.207932775496603,44.1944824950538,6.0867747269123065,332.22600000000006,11.566489892729878,19.0
1.6719962066666665,0.9967335788587834,163.11665506367547,1.4285714285714282,0.5995181636726546,0.5,0.0,0.2857142857142857,0.6502045839535272,11.338308144127916,0.0,13.676825320436384,0.0,84.07699999999998,0.0,16.0
1.7811280865714283,1.20532681626188,157.6719899900939,0.7957312854189353,0.6682958939264327,1.4375,0.875,0.4285714285714285,0.7373504649628064,18.36053322697192,0.0,12.044270037280167,0.0,104.06399999999998,0.0,20.0
3.6406,,,2.5,1.2443113772455092,0.6,0.0,0.0,0.3109175070825711,14.708389067971744,0.0,2.0,0.0,153.823,46.40375956093006,17.8
1.954122471058824,1.49103427851563,151.1710893418136,0.9092609920623028,0.6978969696969698,1.355263157894737,0.7894736842105263,0.3939393939393939,0.8993488907313026,25.67292352415356,0.0,32.783139229777504,6.123862485115446,240.173,11.75255023431679,19.5
1.7034772896875,1.0940027981461409,162.74924140861657,1.3416529962340675,0.6377148390718563,1.0833333333333333,0.5,0.1875,0.8827819531114784,26.865638685421217,0.0,23.761030961090363,3.702843994464309,190.137,5.969305287951849,16.6
1.9921304185714284,1.6461409797045938,150.84292969426244,1.5165110829484956,0.7123283603006754,1.4134615384615383,0.8076923076923077,0.4680851063829787,0.6491764967646625,25.742616021602565,17.248535499851716,42.360578342134026,6.410996912427582,347.20100000000014,7.822697123132171,19.0
1.895157633125,1.5545572029258277,159.08359659223584,0.5107668158642313,0.7136059505988025,1.4166666666666667,0.8333333333333334,0.375,0.875,28.022007475583365,0.0,12.143283228246991,0.0,135.533,22.97571243959964,19.0
1.6157976223636366,0.903359240499524,173.19998569064143,1.0045275701854302,0.6317141217564869,0.5,0.0,0.0,0.8605285271744351,26.9410072146931,0.0,5.487436867076458,0.0,87.485,11.600939890232516,17.5
1.5477334418947368,1.0648196966190475,161.17634445856072,1.5371528427241783,0.5875902994011976,0.6875,0.1875,0.0,0.7192842873161823,21.982749485733287,5.783244946364939,10.935581740095609,0.0,104.06399999999998,5.783244946364939,15.8
1.4015513634666668,0.8409992652012424,169.7616955474164,1.6454118475780486,0.5595782185628743,0.5,0.0,0.0,0.6014097655573916,15.889875,0.0,7.198289965647392,0.0,80.04199999999999,0.0,15.7
