MATS3Z,EState_VSA3,JGI10,MATS7s,fs
-0.120977177377049,2.274986143294837,0.0048363552200306,-0.0486817858351008,27.4
-0.1168509891027757,3.639977829271739,0.0049133837090826,-0.0444566836466131,29.3
-0.1141001969199269,4.549972286589674,0.0049647360351172,-0.041639948854288,34.0
-0.1141001969199269,3.4000699199328928,0.0048360892584951,-0.0513060024584509,26.6
-0.1221925064844223,10.287059008153513,0.0048198305952316,-0.0391122144003793,29.9
-0.1278541578341711,0.0,0.0047079744049441,-0.0557236228159137,19.7
-0.1128697298825384,1.6814289258077555,0.0048279308155489,-0.0469154831574535,26.6
-0.0978853019309058,3.362857851615511,0.0049478872261537,-0.0381073434989933,30.9
-0.0829008739792731,5.044286777423266,0.0050678436367585,-0.0292992038405331,49.8
-0.0754086600034568,5.885001240327144,0.005127821842061,-0.024895134011303,28.8
-0.1111071667408606,2.250167553276112,0.0049429926975381,-0.0440051785035637,26.8
-0.114172634848261,2.26259266499618,0.0049092253542728,-0.0331035959818021,29.1
-0.1124123537918967,2.825118736604502,0.0048741978236927,-0.0461860456924216,31.4
-0.0969705497496222,5.650237473209004,0.0050404212424414,-0.0366484685689295,35.8
-0.0815287457073478,8.475356209813505,0.0052066446611901,-0.0271108914454374,41.1
0.0070056937305228,10.014212685054591,0.0059262212437443,0.0238556297915178,26.6
-0.0079787342211098,8.901522386715193,0.0057908604838776,0.0150134906129142,30.9
-0.0928860552103312,10.100998666566602,0.005057241999138,-0.0441843727962821,38.1
-0.0766878828225033,16.764715344882926,0.0052014393697142,-0.0400068076282568,33.5
