C3SP2,GATS8pe,ATSC3Z,JGI10,ATSC2are,SIC4,GATS2pe,AvgIpc,fs
4.3,0.8771933615840762,-79.39417419738405,0.0048363552200306,0.531834913079667,0.8957652746612607,0.9233275639205208,2.7185502338080574,27.4
4.48,0.8876614123198079,-76.3666787158145,0.0049133837090826,0.6383426609274669,0.8973597126986217,0.913585923896276,2.7605800699305507,29.3
4.6,0.8946401128102955,-74.34834839476812,0.0049647360351172,0.7093478261593337,0.8984226713901957,0.907091497213446,2.788599960678879,34.0
4.6,0.8859008558560337,-74.34834839476812,0.0048360892584951,0.7093478261593337,0.9001825137586443,0.907091497213446,2.788020577451113,26.6
5.0,0.9046207173077008,-96.04312035123968,0.0048198305952316,0.9061497173553728,0.8878358390820726,0.9085114676435574,2.543199487887662,29.9
4.0,0.8597466103578572,-84.44,0.0047079744049441,0.3543220000000003,0.8931078779323257,0.9395636306275956,2.648500506937236,19.7
5.0,0.8861218694853332,-70.95801873048907,0.0048279308155489,0.8830657483870971,0.8896901694780155,0.9049802190981804,2.544301132324557,26.6
6.0,0.9124971286128092,-57.47603746097816,0.0049478872261537,1.4118094967741937,0.8862724610237052,0.8703968075687654,2.44010175771188,30.9
7.0,0.9388723877402853,-43.99405619146723,0.0050678436367585,1.94055324516129,0.8828547525693947,0.8358133960393501,2.3359023830992007,49.8
7.5,0.9520600173040232,-37.253065556711775,0.005127821842061,2.2049251193548383,0.8811458983422396,0.8185216902746426,2.2838026957928617,28.8
4.2,0.905788518021574,-72.97778512396694,0.0049429926975381,0.528555056198348,0.895620341136235,0.9014380146449396,2.7205691244105834,26.8
5.0,0.8856697522798693,-74.44693363975868,0.0049092253542728,0.7243428077563923,0.8886171446661165,0.9009343050727914,2.751723072523573,29.1
4.6,0.8939507716519545,-71.94097959183672,0.0048741978236927,0.7069905600907036,0.8995417455145552,0.904144804632892,2.788962219918827,31.4
5.2,0.9281549329460516,-59.44195918367347,0.0050404212424414,1.0596591201814067,0.9059756130967848,0.8687259786381885,2.929423932900418,35.8
5.8,0.9623590942401488,-46.94293877551019,0.0052066446611901,1.4123276802721096,0.9124094806790142,0.8333071526434848,3.0698856458820085,41.1
13.0,1.116541460086889,36.89783142559831,0.0059262212437443,5.113015735483875,0.8805384307431805,0.6283129268628594,1.715485729404504,26.6
12.000000000000002,1.0880086990058857,23.41585015608739,0.0057908604838776,4.584271987096779,0.881935035986419,0.6628963383922746,1.819154038019252,30.9
6.0,0.8852864914868053,-53.391381657083606,0.005057241999138,1.1415130020171564,0.8976432079999541,0.85352382137483,2.9256155402347392,38.1
8.8,0.8924321157370376,-30.12891412742382,0.0052014393697142,2.141297581440444,0.8863254913175536,0.8136706611501088,2.333308025843919,33.5
